theta1,theta2,theta3,theta4,theta5,theta6,theta7,x,y,phi
1.49,-1.02,-0.29,1.82,-2.89,-0.43,-0.72,4.91,-0.25,-116.88
1.06,-0.25,0.06,2.26,-1.17,1.24,-0.24,-3.85,8.55,169.6
2.41,-1.38,0.73,0.54,-1.66,-0.52,-2.6,-0.19,8.39,-142.09
0.77,-2.74,0.6,2.72,-1.19,-1.57,-1.95,2.3,-2.1,-192.51
0.55,-0.24,-1.4,2.45,-0.33,0.57,-1.82,9.85,6.39,-12.61
0.83,-3.08,0.3,1.93,-1.48,-1.15,-0.9,-2.63,-5.15,-203.4
2.04,-2.59,-0.61,3.04,-0.47,1.24,1.03,-2.71,3.38,210.85
0.01,-1.69,-0.25,1.01,-0.99,-1.36,1.48,-0.99,-11.27,-102.56
0.65,-2.77,-0.61,0.22,-2.83,-1.13,-1.59,-0.21,-3.98,-461.8
2.59,-2.48,0.83,0.51,-2.88,0.94,-2.7,2.19,2.55,-182.77
1.74,-1.07,0.21,2.84,-2.42,1.0,-3.02,1.92,7.2,-41.25
2.02,-0.42,1.29,1.45,-0.28,0.67,-0.41,-6.92,-3.75,247.52
2.22,-0.8,-0.05,1.73,-2.75,-0.53,-0.67,3.32,5.55,-48.7
3.09,-2.85,1.44,2.88,-2.89,-0.23,-0.9,1.5,6.99,30.94
1.66,-2.54,-0.96,2.11,-0.18,0.29,0.15,10.08,1.24,30.37
2.47,-0.35,1.0,1.54,-3.0,1.17,-2.26,-6.39,5.85,32.66
0.91,-1.19,-0.47,0.57,-2.16,0.05,0.9,5.29,-7.01,-79.64
2.27,-1.51,-0.72,1.51,-0.75,-0.65,-3.09,4.52,7.9,-168.45
0.16,-3.04,0.87,2.17,-3.08,-0.2,-2.48,-1.54,-1.14,-320.86
1.95,-2.72,-0.65,3.0,-0.83,-0.45,-1.42,6.53,0.8,-64.17
2.07,-0.07,-1.56,2.51,-0.95,-0.61,-2.0,-0.97,9.31,-34.95
3.09,-0.08,-0.1,0.01,-0.69,0.01,0.48,-15.21,6.54,155.84
2.76,-2.92,0.21,0.08,-2.69,-1.2,0.97,-1.35,0.2,-159.86
1.56,-3.03,0.35,2.29,-2.85,1.34,-0.08,6.71,-4.27,-24.06
2.51,-2.84,0.88,2.37,-1.93,-1.1,-1.94,2.74,2.12,-117.46
2.34,-0.1,0.48,1.38,-2.78,-1.57,1.13,-2.37,6.46,50.42
2.3,-1.76,1.04,1.69,-2.61,1.24,-2.67,0.94,7.49,-44.12
1.98,-1.74,1.44,0.32,-0.71,0.44,1.11,-1.97,13.26,162.72
1.65,-2.32,0.53,2.24,-2.18,-0.65,0.13,9.39,-0.53,-34.38
2.41,-0.56,-0.64,0.93,-2.85,-0.19,-2.99,-1.4,6.63,-222.88
1.88,-2.23,1.26,1.99,-1.14,-0.15,0.31,-0.73,11.4,110.01
0.99,-2.24,-1.43,0.01,-2.49,0.9,0.51,-4.37,3.4,-214.86
0.1,-2.93,0.6,0.69,-2.5,-0.36,-2.74,-2.03,-2.55,-409.09
0.81,-1.51,1.22,2.29,-1.33,-0.29,0.73,3.74,9.42,110.01
0.09,-0.04,-1.46,0.66,-1.29,0.37,-2.76,5.14,-6.14,-253.82
1.2,-1.7,-1.31,1.25,-2.38,-0.69,0.12,-2.36,-1.05,-201.11
0.59,-0.99,1.52,1.41,-1.5,0.38,-1.1,7.49,9.48,17.76
0.43,-0.16,0.17,0.11,-0.31,-0.11,-1.68,14.03,2.5,-88.81
0.64,-0.91,1.11,2.04,-1.53,1.14,-0.35,0.88,9.4,122.61
2.8,-0.05,-0.63,0.84,-0.98,-0.39,-0.53,-8.25,11.35,60.73
0.04,-0.2,0.25,2.2,-0.71,-0.18,-1.76,8.55,5.89,-20.63
0.52,-3.11,-0.44,0.43,-1.19,-0.5,0.95,-10.05,2.65,-191.37
2.83,-2.46,0.97,2.07,-0.41,-0.24,-0.86,-7.49,7.09,108.86
1.5,-1.53,0.67,0.63,-1.94,-1.08,-3.13,7.35,4.75,-279.6
1.98,-2.11,1.55,2.27,-0.47,-0.75,0.05,-6.76,5.95,144.39
2.49,-2.36,-0.12,3.08,-1.8,-1.39,-1.66,3.2,1.69,-100.84
1.2,-1.78,0.85,0.05,-2.43,-0.37,1.53,5.98,-3.3,-54.43
0.54,-1.13,0.75,1.1,-2.43,-0.81,-1.14,4.94,-1.98,-178.76
2.92,-0.32,-1.2,0.51,-1.08,0.45,-0.93,-0.24,11.76,20.05
0.68,-2.73,-0.33,2.06,-2.34,1.37,0.53,1.64,-8.44,-43.54
0.01,-2.25,-1.13,1.08,-1.14,0.06,0.01,-10.41,-1.43,-192.51
2.12,-2.08,-0.18,0.17,-0.59,0.09,0.11,12.85,-1.38,-20.63
2.3,-1.6,-1.24,0.45,-1.39,-0.96,1.0,3.52,-4.62,-82.51
0.92,-2.96,0.96,1.39,-2.83,1.26,-1.19,0.75,-7.11,-140.37
0.74,-0.29,-0.87,2.85,-0.44,-0.54,-1.46,6.27,8.13,-0.57
0.98,-0.01,0.52,2.12,-1.43,0.38,-2.51,-0.25,9.05,2.86
2.44,-0.27,-1.53,2.87,-1.08,-0.67,-2.26,-3.82,7.16,-28.65
2.88,-1.93,0.06,0.05,-2.95,-0.34,1.39,0.94,0.77,-48.13
0.06,-0.61,1.39,2.25,-2.03,-0.37,-0.71,9.45,4.56,-1.15
0.97,-1.03,0.83,2.64,-1.39,-0.71,-3.1,2.31,5.22,-102.56
2.38,-2.96,-1.3,2.91,-0.91,-1.05,-1.87,2.43,-2.43,-160.43
1.25,-0.58,-0.36,0.6,-1.3,1.44,-2.35,10.89,5.47,-74.48
1.62,-0.04,-1.13,0.59,-1.85,-0.97,1.45,6.94,3.17,-18.91
0.95,-1.2,1.13,0.33,-0.74,-0.23,-0.66,13.29,6.39,-24.06
0.33,-0.49,1.09,2.99,-1.41,0.3,-2.27,2.31,4.24,30.94
0.79,-2.8,-0.74,2.21,-2.53,0.59,-0.96,-6.33,-3.71,-197.1
0.39,-0.65,1.03,0.6,-0.5,-0.41,0.52,12.27,9.59,56.15
2.93,-0.48,1.29,2.41,-0.58,-1.44,-1.02,-5.94,-3.27,178.19
2.1,-3.08,-1.44,0.12,-1.99,-1.2,-3.06,-4.29,-1.29,-489.88
2.9,-3.01,0.92,0.49,-0.62,-1.12,-1.31,6.21,2.59,-100.27
1.98,-2.46,-0.84,0.04,-2.84,-1.56,-2.12,3.36,-2.68,-446.91
0.48,-0.86,0.05,1.72,-2.77,-1.23,-1.93,5.24,0.62,-260.12
2.65,-1.19,-1.42,0.66,-1.58,0.78,1.38,7.28,5.59,73.34
0.75,-1.33,0.85,2.41,-1.9,-0.26,1.25,7.54,7.57,101.41
1.92,-2.78,-0.4,1.63,-2.94,-0.92,-2.83,1.92,-1.61,-362.11
2.3,-2.19,-1.34,1.85,-0.37,-1.36,-1.06,5.81,-2.45,-124.33
2.41,-0.37,-0.68,2.45,-2.2,0.3,-2.39,-3.14,8.5,-27.5
2.63,-2.85,-1.16,1.85,-2.24,-0.87,-1.28,-1.5,-2.54,-224.6
1.09,-2.62,-1.51,3.06,-2.89,1.09,0.12,-1.88,-6.09,-95.11
3.0,-0.64,-0.93,3.14,-0.35,-0.82,0.59,-9.51,-2.6,228.61
1.5,-1.43,1.43,3.12,-2.1,-0.79,-2.26,2.35,5.33,-30.37
0.66,-0.69,1.12,1.19,-1.6,-1.13,0.99,10.34,7.34,30.94
2.93,-1.17,0.98,2.88,-1.45,0.56,-2.52,-5.98,-0.22,126.62
0.8,-2.99,0.22,1.48,-0.88,0.08,-1.96,0.23,-8.3,-186.21
0.62,-0.17,-0.89,1.24,-0.86,1.53,0.76,9.51,7.58,127.77
0.33,-2.76,1.07,1.7,-0.85,1.35,0.34,8.15,0.52,67.61
2.46,-1.65,1.04,0.43,-2.21,1.21,-1.45,3.14,9.83,-9.74
3.03,-2.14,-1.32,3.0,-0.21,0.47,0.99,-6.84,3.49,218.87
0.4,-1.4,-0.6,2.76,-2.87,0.38,-2.31,2.63,-5.05,-208.56
2.13,-1.05,1.11,2.45,-3.13,0.39,-1.66,-0.01,9.32,13.75
2.2,-0.96,-1.5,2.84,-0.33,-0.57,-1.56,0.28,9.8,6.88
2.61,-2.89,-0.1,1.93,-1.7,-1.42,-2.96,4.64,1.73,-259.55
1.21,-1.27,0.05,2.03,-1.09,1.2,-1.05,6.14,10.74,61.88
0.34,-1.29,1.28,2.3,-1.31,-1.32,-0.31,9.5,2.49,-17.76
2.01,-1.03,-0.64,1.31,-1.25,0.86,-2.19,7.05,9.01,-53.29
2.37,-0.38,0.83,0.91,-1.13,-1.29,-2.15,-7.09,5.27,-48.13
1.74,-0.56,0.99,0.76,-1.19,-1.1,-2.05,-1.34,8.85,-80.79
1.59,-2.85,0.49,2.21,-0.93,-0.88,-0.11,9.57,0.02,-27.5
0.59,-0.22,-1.41,1.77,-2.4,-0.55,-2.13,4.89,-0.34,-249.24
2.59,-0.78,-1.16,0.19,-0.29,0.05,-2.51,4.3,7.47,-109.43
2.05,-0.78,-1.18,2.31,-3.14,-0.39,-1.21,1.41,0.78,-134.07
1.94,-2.68,0.87,1.1,-2.37,-0.19,0.6,7.76,-3.04,-41.83
1.33,-1.32,-1.53,2.44,-0.69,0.03,0.73,10.96,5.25,56.72
1.16,-1.43,-0.4,0.98,-2.19,0.99,0.55,10.92,-4.32,-19.48
1.29,-0.52,-0.19,0.08,-1.2,0.43,-0.36,13.41,4.35,-26.93
2.43,-2.03,-0.39,0.08,-1.34,-0.56,-2.84,5.44,0.55,-266.43
0.66,-0.49,0.44,2.14,-1.34,0.75,-1.57,5.27,10.28,33.8
2.62,-3.1,1.47,1.22,-0.2,0.42,-1.14,-2.33,10.49,73.91
1.97,-2.16,-0.52,2.1,-2.25,0.5,-2.82,5.3,-0.02,-182.2
1.13,-0.07,-0.95,1.77,-1.36,-1.11,-2.64,5.77,7.17,-185.07
0.81,-0.75,-1.44,0.67,-1.23,-1.57,-0.86,2.52,-1.2,-250.38
1.32,-1.52,0.93,2.8,-0.8,1.21,0.47,-2.16,-0.53,252.67
2.0,-3.02,-0.88,2.5,-2.54,1.46,-1.11,2.79,-6.8,-91.1
0.58,-2.76,0.79,0.46,-0.32,0.84,-2.22,3.51,-9.74,-150.69
2.26,-2.62,-0.51,1.56,-2.64,-0.85,-2.58,2.56,-0.47,-308.25
1.67,-0.68,-1.08,2.53,-0.85,0.33,-1.23,2.73,12.41,39.53
3.03,-1.69,0.22,0.01,-0.52,1.09,0.47,-4.14,13.25,149.54
1.39,-0.28,0.75,2.57,-0.7,0.32,-1.19,-5.87,2.03,163.87
1.18,-2.66,1.24,0.57,-1.11,-1.32,-2.4,5.96,-1.43,-257.83
0.04,-2.72,1.16,2.29,-0.36,-1.17,1.13,8.62,-1.59,21.2
1.65,-2.93,0.18,3.03,-2.84,-0.05,-0.87,3.1,-6.23,-104.85
2.07,-2.58,-0.78,1.92,-0.38,-1.16,-1.82,5.36,-2.31,-156.42
0.31,-1.94,1.39,0.58,-0.31,1.0,-2.98,9.88,-1.6,-111.73
1.15,-1.98,-0.41,2.68,-0.51,-0.15,-3.01,5.59,2.34,-127.77
1.6,-1.64,1.19,1.3,-1.93,0.55,0.11,5.84,12.02,67.61
0.47,-1.8,-0.64,1.41,-1.73,0.06,-1.24,-1.57,-7.98,-198.82
0.48,-2.59,-1.04,1.77,-1.21,0.89,0.25,-3.24,-9.7,-83.08
0.78,-2.28,1.54,1.34,-2.22,-0.57,-0.45,6.28,-4.91,-106.57
2.08,-0.5,-0.25,0.93,-2.44,0.56,-0.78,4.85,8.55,-22.92
1.16,-1.31,0.86,0.01,-2.66,-0.95,-1.48,3.08,4.6,-250.38
0.5,-1.73,-0.97,1.36,-0.99,0.52,1.03,5.63,-10.56,-16.04
2.14,-3.09,0.74,2.1,-2.44,0.31,-1.8,5.2,-2.21,-116.88
0.17,-1.17,-0.18,1.76,-2.79,-1.22,-1.88,4.38,-1.85,-304.24
2.62,-1.17,-0.34,2.03,-0.66,-1.43,-2.12,-2.78,7.48,-61.31
1.73,-0.24,0.13,0.6,-1.97,1.29,0.69,-0.86,14.54,127.77
2.11,-1.81,1.52,0.14,-0.24,-0.93,-2.59,0.36,9.43,-103.13
1.66,-3.1,0.92,0.37,-0.49,0.76,-0.46,11.59,-3.63,-19.48
0.61,-1.11,-1.29,2.86,-2.89,0.82,-2.23,3.14,-4.32,-185.07
2.05,-0.37,-0.75,1.04,-2.37,-0.97,1.34,4.4,5.51,-1.72
0.84,-0.31,-0.46,1.67,-1.83,1.11,-3.08,8.52,5.46,-118.03
0.29,-2.61,-0.48,2.97,-1.78,-0.36,-1.94,-2.07,-4.59,-224.03
1.25,-1.62,0.27,2.11,-2.03,-0.76,0.99,11.27,2.19,12.03
1.58,-0.58,-0.45,2.54,-1.18,1.23,-1.85,-1.68,10.8,73.91
2.3,-2.06,-1.33,0.77,-2.64,-0.66,0.67,-2.84,-0.32,-169.02
2.48,-0.97,1.23,1.95,-3.03,-1.05,-2.53,-3.21,4.08,-110.01
2.76,-0.6,0.49,2.68,-0.61,-0.47,-1.99,-7.15,-0.66,129.49
1.06,-1.64,0.88,0.16,-1.86,0.68,0.45,12.66,-2.12,-15.47
1.41,-1.48,-0.21,0.97,-2.91,-0.4,-1.34,1.84,1.78,-226.89
2.2,-1.07,-1.42,2.72,-2.89,-0.71,-0.52,3.02,-0.69,-96.83
0.48,-0.23,0.27,2.89,-0.22,-0.24,-2.19,1.26,4.43,43.54
0.93,-3.01,-1.28,0.98,-2.75,1.25,-0.78,-4.94,5.1,-267.0
0.01,-1.19,-1.22,2.36,-1.77,-0.27,-1.1,-0.2,-8.59,-182.2
0.66,-1.68,0.88,1.42,-1.96,-0.67,0.27,10.15,-4.77,-61.88
2.39,-0.45,-0.52,0.72,-1.51,-0.72,0.09,3.31,9.86,-0.0
2.8,-2.46,-1.46,1.56,-2.34,0.28,1.23,4.73,-5.33,-22.35
1.93,-1.0,0.42,2.49,-2.46,-0.77,0.15,3.58,10.79,43.54
2.94,-1.49,0.84,1.96,-2.82,1.13,-1.18,-6.17,8.93,79.07
2.93,-1.58,0.44,0.41,-0.5,1.35,-1.16,-7.51,12.51,108.29
0.49,-2.33,0.29,2.02,-1.79,-0.1,-1.78,2.32,-7.35,-183.35
2.43,-1.84,0.69,1.21,-2.31,-0.88,1.17,5.51,6.9,26.93
0.0,-2.51,0.87,1.15,-0.58,0.02,-1.35,3.12,-11.2,-137.51
1.08,-3.05,0.09,1.7,-2.48,0.89,-0.7,-2.76,-8.09,-141.52
1.03,-3.1,-0.44,1.54,-2.39,-0.72,-0.89,-3.8,1.39,-284.76
1.82,-1.38,0.91,3.07,-1.69,-1.36,-0.8,1.78,8.33,32.66
1.59,-2.58,-0.96,1.55,-2.62,-0.68,-1.61,-0.49,0.2,-304.24
2.85,-3.1,0.4,3.06,-1.22,-1.19,1.34,-0.62,6.49,122.61
2.27,-2.08,-1.43,2.85,-2.72,0.17,1.43,6.35,-0.56,28.07
0.05,-1.46,-1.14,1.61,-1.15,0.82,-2.52,-0.2,-8.8,-217.15
2.77,-1.06,-0.7,1.5,-1.77,-0.26,-2.31,0.06,7.4,-104.85
0.01,-1.61,0.32,3.01,-1.84,1.09,-0.82,9.09,-0.2,9.17
0.51,-2.09,-1.44,1.81,-2.26,-1.23,1.02,-3.98,0.67,-210.85
2.58,-2.36,0.12,2.36,-1.49,-0.57,0.48,4.4,9.86,64.17
0.11,-2.63,-0.19,1.04,-3.07,-0.07,0.96,-3.65,1.9,-220.59
1.24,-2.51,-0.93,1.55,-2.8,0.87,-1.09,-4.59,-2.87,-210.28
0.97,-1.79,0.18,1.99,-1.22,-1.28,-0.32,9.42,-3.26,-84.22
0.48,-1.55,-0.39,1.2,-0.09,0.51,-2.7,8.87,-6.04,-145.53
1.2,-1.38,-0.01,0.25,-2.36,0.55,-2.08,4.27,-1.18,-219.44
0.92,-1.92,1.21,1.05,-2.82,-1.04,0.94,3.74,-3.49,-95.11
2.33,-0.65,-1.27,2.53,-0.1,-0.68,-0.36,-6.49,11.05,103.13
1.32,-1.45,-0.72,0.48,-0.13,-1.33,0.62,9.52,-6.64,-69.33
0.22,-0.36,-1.56,0.99,-3.0,0.54,-2.3,3.6,-0.68,-313.41
2.23,-2.23,-0.63,2.39,-1.42,0.91,-2.16,7.2,4.19,-52.14
1.31,-2.13,-1.07,2.88,-0.18,1.03,-0.55,4.69,6.93,73.91
2.81,-1.43,-0.28,1.84,-1.14,0.38,-1.48,-3.29,12.09,40.11
1.33,-0.25,0.68,1.66,-2.14,1.01,0.29,-4.15,12.01,147.82
3.06,-2.49,-0.31,0.32,-3.0,-0.53,-0.05,-2.69,1.09,-171.89
0.98,-0.07,0.54,2.76,-0.27,-0.43,-1.72,-2.6,4.09,102.56
1.02,-0.8,0.55,1.04,-0.17,-0.32,-1.22,7.89,12.01,5.73
0.51,-1.55,-0.57,2.4,-1.39,-0.27,-1.86,6.49,-5.98,-156.42
2.63,-2.42,-1.37,1.78,-1.47,-0.85,-0.6,2.96,-5.32,-131.78
1.24,-1.49,-0.18,0.24,-2.96,1.3,-1.27,2.27,-2.2,-178.76
1.96,-2.78,0.43,2.81,-0.83,1.04,-0.06,-3.14,6.26,147.25
2.49,-2.2,-1.0,2.57,-0.55,-0.71,0.7,4.97,9.23,74.48
0.33,-0.89,-0.96,1.74,-0.78,1.31,-2.65,10.19,-4.46,-108.86
2.36,-0.32,0.34,3.07,-0.07,0.94,-1.25,1.89,-0.35,290.49
0.53,-2.69,-1.3,0.09,-2.09,-0.11,0.22,1.04,6.01,-306.53
1.36,-2.04,0.64,2.12,-2.69,1.29,-0.21,9.97,4.23,26.93
2.84,-0.15,-0.92,1.67,-1.1,0.16,0.75,-13.75,6.57,186.21
1.6,-1.76,-1.26,0.65,-0.43,-1.54,1.44,3.84,-7.83,-74.48
2.76,-1.87,0.18,1.19,-2.07,0.19,0.29,5.6,9.95,38.39
0.88,-0.03,-0.26,2.87,-0.96,-0.67,-0.1,-0.09,10.79,99.12
0.24,-2.09,-0.35,2.82,-0.36,0.97,-0.3,7.05,2.63,53.29
0.74,-0.04,0.34,1.01,-0.16,1.44,-1.8,0.73,12.07,87.66
1.71,-0.92,0.14,2.68,-2.33,-0.37,-0.6,5.31,10.26,17.76
1.65,-1.53,-0.73,2.36,-1.27,0.44,-1.5,9.71,5.59,-33.23
2.47,-3.13,-1.35,0.45,-0.12,-0.31,1.12,-0.7,-11.42,-49.85
0.09,-0.53,-0.16,1.63,-0.6,-1.3,-2.03,9.56,-1.58,-166.16
1.79,-2.67,-0.49,2.18,-0.83,0.28,-1.49,9.02,-1.89,-70.47
1.71,-1.13,0.51,2.25,-1.39,-0.22,0.28,-1.94,12.62,115.16
0.08,-2.22,1.28,0.7,-0.93,1.45,-1.22,10.37,-7.43,-49.27
2.9,-1.7,0.91,1.59,-0.11,1.19,-0.5,-8.06,-2.1,245.23
0.64,-0.37,0.14,2.27,-0.16,1.27,-2.37,0.82,6.69,81.36
1.07,-1.14,-0.02,2.77,-0.27,-0.17,-3.04,2.28,4.74,-45.84
2.55,-2.85,-1.5,0.99,-1.65,-0.71,-1.32,-3.52,-2.66,-257.26
1.05,-1.98,1.11,0.26,-1.49,1.01,-0.68,13.08,-2.24,-41.25
2.89,-1.74,-1.44,0.0,-2.48,0.37,1.38,0.53,-3.25,-58.44
0.42,-1.93,-0.35,2.24,-2.94,-0.35,0.84,-1.68,-7.09,-118.6
2.36,-0.29,0.14,0.75,-0.3,0.95,-2.22,-10.92,8.9,79.64
1.34,-3.1,0.48,0.24,-2.56,0.46,1.47,-2.91,-5.96,-95.68
0.5,-2.06,-1.29,1.41,-0.85,0.01,-0.47,-5.43,-9.23,-157.56
0.59,-0.5,1.39,0.95,-1.86,-1.1,1.1,9.27,7.17,32.66
3.13,-0.42,-0.13,1.88,-1.7,0.27,1.29,-13.27,-1.12,247.52
1.24,-0.18,0.74,2.5,-2.78,0.72,0.22,-2.9,10.72,140.95
3.12,-1.37,-0.21,0.65,-0.32,-0.55,-2.05,-2.57,10.19,-41.83
2.44,-1.92,-0.32,0.95,-1.75,1.28,-1.63,9.19,3.76,-54.43
2.53,-1.94,0.13,3.07,-0.6,0.13,-2.29,-3.75,4.54,59.01
1.81,-0.6,-1.34,0.91,-1.22,0.12,-3.07,6.76,4.97,-194.23
1.55,-1.0,-1.03,1.89,-1.42,0.28,-1.57,10.38,3.35,-74.48
2.39,-0.49,0.97,1.87,-2.57,0.4,-1.72,-6.84,7.54,48.7
0.7,-3.07,-0.55,0.6,-0.57,1.14,1.55,-4.44,-6.09,-11.46
0.79,-2.49,-1.34,0.61,-1.43,-1.16,1.23,-6.06,2.95,-217.15
2.27,-2.82,1.51,2.22,-2.8,0.83,-2.27,3.88,3.64,-60.73
2.54,-0.92,0.13,0.93,-1.83,-1.55,-2.91,-3.54,8.88,-206.84
0.59,-0.85,-0.6,0.43,-1.49,1.21,-2.31,6.96,-6.47,-173.03
2.88,-1.14,0.21,1.39,-1.5,0.43,-1.95,-6.11,10.05,18.33
2.44,-1.25,1.43,1.2,-2.99,0.46,-1.5,-0.27,7.34,-12.03
2.37,-2.58,-0.27,1.55,-0.65,1.53,-0.21,5.01,8.07,99.69
2.38,-0.79,1.32,0.29,-1.67,0.95,-1.9,-6.57,10.06,33.23
0.16,-2.47,-1.09,2.57,-1.83,-0.74,-3.03,-2.11,-3.54,-368.41
1.79,-1.34,-1.04,2.92,-1.01,-1.0,1.31,4.91,9.65,93.39
1.61,-2.03,0.86,1.49,-2.42,1.13,-0.29,10.13,6.06,20.05
1.83,-0.77,1.19,2.97,-2.98,-0.29,0.23,-3.68,10.69,124.9
2.23,-2.15,1.28,2.98,-1.74,-0.96,0.98,-3.91,7.32,150.11
3.11,-0.08,-0.71,1.35,-0.06,-0.79,-1.6,-12.59,2.94,69.9
2.34,-0.02,-1.16,2.59,-2.21,-1.42,-2.54,-3.81,5.64,-138.66
2.13,-1.54,-1.29,0.29,-1.38,-0.25,-2.0,1.72,-1.81,-231.47
0.06,-2.4,0.95,0.72,-0.16,0.76,-1.25,7.97,-10.1,-75.63
0.29,-0.93,-0.71,1.0,-0.31,0.72,-1.8,11.35,-7.92,-99.69
2.72,-3.07,-0.65,1.14,-2.47,1.29,0.37,5.4,-7.11,-38.39
1.02,-1.32,0.03,1.26,-0.89,-1.0,-1.63,9.47,-0.33,-144.96
0.32,-0.22,-0.45,0.74,-0.92,-0.5,-2.5,10.65,-1.33,-202.25
3.1,-0.37,-0.75,2.9,-1.28,-0.71,-2.18,-8.13,2.08,40.68
1.78,-2.83,-1.12,0.64,-0.7,1.13,-1.1,-2.45,-10.51,-126.05
0.61,-1.27,1.09,0.29,-0.14,-0.73,0.71,14.86,4.91,32.09
1.14,-1.35,0.78,0.03,-1.87,1.18,1.18,12.04,4.12,62.45
1.79,-1.35,-0.2,0.27,-3.03,1.55,0.01,7.14,-0.25,-55.0
1.91,-3.13,-1.39,0.89,-1.57,-1.16,0.08,-6.46,1.41,-250.38
0.16,-0.7,1.09,0.09,-2.78,-0.01,0.73,6.41,-4.76,-81.36
1.53,-2.83,1.49,0.11,-2.0,1.55,-2.65,5.41,-2.39,-160.43
1.74,-1.52,0.16,0.72,-0.74,-1.51,0.12,10.12,2.62,-59.01
0.07,-2.09,0.64,2.12,-0.07,1.48,0.48,2.14,2.02,150.69
2.39,-2.74,-0.38,0.48,-0.16,0.05,-2.52,7.02,-3.96,-165.01
2.1,-1.05,-1.31,1.67,-2.14,0.16,0.01,8.88,1.81,-32.09
0.78,-3.14,-1.41,1.4,-0.47,0.17,-1.12,-10.42,-0.64,-217.15
1.95,-0.09,-0.34,0.8,-1.26,-0.44,-2.93,-1.64,10.83,-132.35
2.98,-2.66,-0.98,2.48,-1.03,-1.18,1.47,6.51,5.11,61.88
1.2,-1.43,-0.18,0.33,-1.9,0.11,-0.77,4.2,-5.32,-151.26
3.14,-1.13,1.19,0.76,-1.92,0.0,-0.98,-8.81,6.94,60.73
2.64,-0.82,1.36,0.13,-1.66,0.66,1.4,-11.76,6.1,212.57
2.7,-0.84,-0.56,1.52,-0.51,-0.82,-2.47,-4.77,8.93,-56.15
0.05,-0.31,-0.21,0.89,-1.12,-0.03,-0.06,14.96,-5.68,-45.26
3.01,-2.9,-1.27,0.95,-0.87,0.52,-2.12,4.51,-6.86,-153.55
1.1,-2.73,0.2,1.35,-0.05,1.01,-1.08,10.35,-1.84,-11.46
0.81,-1.57,1.32,2.63,-2.2,-0.18,0.25,7.47,7.38,60.73
0.37,-0.35,0.54,0.22,-1.1,-1.55,-2.19,8.84,2.85,-232.62
1.64,-2.75,1.51,0.85,-0.97,0.93,-1.61,9.62,5.66,-22.92
2.19,-0.51,-1.25,0.74,-2.61,-1.17,-1.75,-1.17,6.47,-249.81
2.72,-1.65,0.63,3.07,-2.86,-0.4,-0.98,0.22,9.32,30.37
1.0,-0.32,0.96,0.45,-1.55,-0.61,-2.23,4.85,7.59,-131.78
2.25,-2.44,-0.04,1.28,-2.73,1.43,0.2,9.21,-0.16,-2.86
1.95,-0.24,-1.13,2.2,-2.17,0.59,0.15,1.98,13.25,77.35
2.13,-2.56,-1.25,0.46,-1.43,-0.95,-2.62,-0.42,-3.67,-356.38
0.51,-0.96,1.24,2.14,-2.7,0.52,0.39,9.06,6.98,65.32
2.15,-2.63,0.1,2.21,-0.97,0.27,-2.23,6.36,4.35,-63.03
1.55,-1.02,0.02,2.69,-2.45,1.26,1.15,-0.04,8.67,183.35
1.66,-0.88,1.16,1.8,-1.4,-0.74,-0.75,-1.58,11.34,48.7
0.52,-2.83,-0.85,1.61,-2.67,0.35,0.13,-7.08,2.22,-214.29
2.66,-1.61,-0.9,1.23,-2.45,-1.33,-1.97,0.49,4.63,-250.38
0.25,-1.7,-0.5,0.91,-2.78,-1.29,-0.05,3.17,-0.21,-295.65
1.32,-0.92,-0.97,1.93,-0.43,0.32,1.55,5.48,9.7,160.43
1.78,-1.52,0.5,0.34,-2.25,0.8,-0.39,10.06,2.21,-42.4
1.11,-1.93,0.19,2.27,-0.9,-0.38,-0.16,11.3,4.5,11.46
2.6,-2.69,-1.07,2.17,-1.88,0.63,-1.87,5.43,-3.76,-120.89
1.08,-0.07,1.19,2.22,-1.48,1.33,-0.17,-4.64,0.14,234.91
1.45,-1.43,0.51,1.88,-0.03,1.01,-1.43,-2.08,8.89,112.3
1.97,-2.46,0.91,0.13,-0.23,1.32,-1.3,10.21,7.57,19.48
2.23,-0.07,1.34,0.44,-1.1,1.39,0.59,-10.28,-2.57,276.17
0.57,-2.5,-0.16,2.94,-0.05,0.95,0.82,0.83,4.32,147.25
2.28,-1.61,0.36,1.99,-0.06,-0.81,0.64,-7.04,9.3,159.86
2.03,-2.38,-0.8,2.79,-2.71,0.75,-2.35,3.43,-2.52,-152.98
3.13,-1.16,0.6,2.6,-1.47,-1.06,-2.81,-6.32,0.9,-9.74
0.07,-0.68,-1.04,2.39,-2.63,-0.48,-1.68,2.08,-4.21,-232.05
1.35,-1.04,0.9,0.85,-3.0,0.05,0.69,8.13,3.29,-11.46
2.18,-0.52,0.85,0.57,-0.72,-1.0,-2.22,-5.79,8.48,-49.27
0.05,-0.19,1.4,3.11,-2.39,-0.57,-2.49,5.48,2.36,-61.88
3.02,-0.08,-0.73,2.42,-2.57,1.12,-2.27,-8.77,4.4,52.14
0.26,-2.36,-0.33,2.31,-0.6,1.38,-0.84,8.06,-4.01,-10.31
1.22,-1.73,-0.88,1.08,-2.42,1.15,0.38,4.46,-7.92,-68.75
1.55,-0.15,0.79,1.64,-1.47,-1.36,1.46,-5.27,10.85,140.95
